train\1\Im_B0\1.jpg ['0.2091203220', '12.6991097200', '0.0220812510', '4.4780905300', '0.0014995780', '-2.4168324420', '48.6404901700', '-3.3573481390'] 0.01121538108888889
train\8\Im_B7\52.jpg ['-0.4523662930', '10.0020997300', '0.0408348130', '4.0671506070', '0.0389636780', '-2.9270994620', '23.7272789300', '-3.1063727660'] -0.03791866941111111
train\8\Im_B7\53.jpg ['-0.4476449520', '9.9956589850', '0.0424191670', '4.0824258360', '0.0397753840', '-2.9071766410', '23.2270266800', '-3.1101938570'] -0.037308308533333334
train\8\Im_B7\54.jpg ['-0.4453054350', '9.9892203280', '0.0441900380', '4.0972238680', '0.0406859250', '-2.8873673370', '22.7271268200', '-3.1134999960'] -0.03517204546666666
train\8\Im_B7\55.jpg ['-0.4433776000', '9.9827837000', '0.0461272400', '4.1117454160', '0.0417006740', '-2.8676541680', '22.2275860600', '-3.1162366200'] -0.027695124744444445
train\8\Im_B7\56.jpg ['-0.4394991050', '9.9763490050', '0.0481906460', '4.1262784570', '0.0428214710', '-2.8480129870', '21.7284276800', '-3.1182140720'] -0.025253681244444444
train\8\Im_B7\57.jpg ['-0.4274734450', '9.9699159960', '0.0503145100', '4.1411884830', '0.0440426750', '-2.8284201620', '21.2296975100', '-3.1190730270'] -0.025101091022222223
train\8\Im_B7\58.jpg ['-0.3989259510', '9.9634847750', '0.0524059420', '4.1568984550', '0.0453487390', '-2.8088542390', '20.7314210100', '-3.1186426650'] -0.0225070573
train\8\Im_B7\59.jpg ['-0.3617863380', '9.9570556460', '0.0543645210', '4.1738862250', '0.0467275950', '-2.7892567640', '20.2335951000', '-3.1169802920'] 0.009384298466666666
train\8\Im_B7\60.jpg ['-0.3266466520', '9.9506286280', '0.0560938980', '4.1926184940', '0.0481720510', '-2.7695378570', '19.7362535700', '-3.1138496590'] 0.026779583433333334
train\8\Im_B7\61.jpg ['-0.2792498520', '9.9442029890', '0.0528762500', '4.2442946880', '0.0496575390', '-2.7496310580', '19.2395598100', '-3.1080621060'] 0.028610666055555553
train\8\Im_B7\62.jpg ['-0.1703953140', '9.9377793030', '0.0524550620', '4.2769280390', '0.0511214190', '-2.7295869940', '18.7436446800', '-3.0987659690'] 0.05897611963333333
train\8\Im_B7\63.jpg ['-0.0130035070', '9.9313586810', '0.0520635920', '4.3082165600', '0.0524759170', '-2.7093003790', '18.2485427000', '-3.0858441890'] 0.07362478065555556
train\8\Im_B7\64.jpg ['0.1576689830', '9.9249413010', '0.0517210200', '4.3379558380', '0.0536881670', '-2.6886921410', '17.7543224200', '-3.0689162450'] 0.07637140458888889
train\8\Im_B7\65.jpg ['0.3565916970', '9.9185276540', '0.0514361770', '4.3658568590', '0.0546964080', '-2.6677312570', '17.2609906100', '-3.0480473970'] 0.10292210268888889
train\8\Im_B7\66.jpg ['0.5604075850', '9.9121169400', '0.0512393150', '4.3917028270', '0.0554561240', '-2.6463428980', '16.7684825300', '-3.0237671090'] 0.1268787671111111
train\8\Im_B7\67.jpg ['0.7426541750', '9.9057094130', '0.0511850500', '4.4153254970', '0.0559456120', '-2.6244489920', '16.2768038300', '-2.9960819730'] 0.13420309755555554
train\8\Im_B7\68.jpg ['0.9318726290', '9.8993066950', '0.0513030980', '4.4364857600', '0.0528293420', '-2.5840516930', '15.7859814200', '-2.9648653540'] 0.14686808577777777
train\8\Im_B7\69.jpg ['1.1365000280', '9.8929078690', '0.0516123600', '4.4549944320', '0.0517799380', '-2.5562635430', '15.2959750400', '-2.9304372360'] 0.15815976199999998
train\8\Im_B7\70.jpg ['1.3305081800', '9.8865113600', '0.0521477110', '4.4707933900', '0.0506653310', '-2.5296308330', '14.8067230100', '-2.8932243010'] 0.15861753266666667
train\8\Im_B7\71.jpg ['1.5061127430', '9.8801168160', '0.0529546380', '4.4838562490', '0.0495131100', '-2.5042253970', '14.3181498900', '-2.8537142940'] 0.15861753266666667
train\8\Im_B7\72.jpg ['1.6571047440', '9.8737226650', '0.0540175360', '4.4944457600', '0.0483695600', '-2.4801379220', '13.8301419400', '-2.8126091240'] 0.15861753266666667
train\8\Im_B7\73.jpg ['1.7662224410', '9.8673275650', '0.0553509040', '4.5029160980', '0.0472599610', '-2.4573143090', '13.3425819600', '-2.7705938550'] 0.15861753266666667
train\8\Im_B7\74.jpg ['1.8300274390', '9.8609318880', '0.0569146650', '4.5098885430', '0.0462526830', '-2.4357933710', '12.8553799300', '-2.7281570080'] 0.15861753266666667
train\8\Im_B7\75.jpg ['1.8574650820', '9.8545365830', '0.0586094310', '4.5162200410', '0.0453948260', '-2.4155721740', '12.3684819500', '-2.6855502280'] 0.15861753266666667
train\8\Im_B7\76.jpg ['1.8618638200', '9.8481424240', '0.0602665870', '4.5229952420', '0.0447215440', '-2.3966406370', '11.8818657200', '-2.6428275010'] 0.15861753266666667
train\8\Im_B7\77.jpg ['1.8555027210', '9.8417498170', '0.0616600190', '4.5314333200', '0.0442549510', '-2.3789726700', '11.3955298900', '-2.5999130010'] 0.15632867933333333
train\8\Im_B7\78.jpg ['1.8469110660', '9.8353589040', '0.0625394490', '4.5427076990', '0.0440063960', '-2.3625212470', '10.9094806800', '-2.5566785490'] 0.15068284122222222
train\8\Im_B7\79.jpg ['1.8391802910', '9.8289693610', '0.0426039860', '4.6747173050', '0.0439798990', '-2.3472105250', '10.4237140200', '-2.5130398560'] 0.14869916833333333
train\8\Im_B7\80.jpg ['1.8272084700', '9.8225804320', '0.0387326070', '4.7147829920', '0.0441767590', '-2.3329170560', '9.9382123650', '-2.4689616080'] 0.13801785311111112
train\8\Im_B7\81.jpg ['1.8040671680', '9.8161925320', '0.0350444080', '4.7528369900', '0.0445934840', '-2.3194620580', '9.4529588610', '-2.4243705380'] 0.12138551922222224
train\8\Im_B7\82.jpg ['1.7691375030', '9.8098052220', '0.0315402860', '4.7888728800', '0.0452141050', '-2.3066242940', '8.9679109380', '-2.3792955370'] 0.11390859844444444
train\8\Im_B7\83.jpg ['1.7077677560', '9.8034171350', '0.0283136160', '4.8226470330', '0.0460145300', '-2.2940766650', '8.4830117100', '-2.3337840640'] 0.10292210268888889
train\8\Im_B7\84.jpg ['1.6102661170', '9.7970297340', '0.0254493030', '4.8539890290', '0.0469548280', '-2.2814107600', '7.9982409130', '-2.2876316260'] 0.0974288548111111
train\8\Im_B7\85.jpg ['1.4924656040', '9.7906445040', '0.0230313680', '4.8826362430', '0.0479602950', '-2.2682166820', '7.5136095710', '-2.2404284030'] 0.0974288548111111
train\8\Im_B7\86.jpg ['1.3674610740', '9.7842622750', '0.0211436610', '4.9082757080', '0.0489305680', '-2.2540968390', '7.0291690450', '-2.1915159120'] 0.0974288548111111
train\8\Im_B7\87.jpg ['1.2550667190', '9.7778839710', '0.0198664860', '4.9305105030', '0.0497468010', '-2.2387468550', '6.5450059570', '-2.1400173840'] 0.0981918059
train\8\Im_B7\88.jpg ['1.1738057860', '9.7715095350', '0.0192782310', '4.9488714910', '0.0391464060', '-2.1751521700', '6.0612137220', '-2.0849602840'] 0.10658426794444444
train\8\Im_B7\89.jpg ['1.1276681280', '9.7651383580', '0.0194637410', '4.9628796350', '0.0374975620', '-2.1476840920', '5.5778815080', '-2.0252883280'] 0.11482413977777778
train\8\Im_B7\90.jpg ['1.1151312260', '9.7587706690', '0.0205097330', '4.9721031970', '0.0359813820', '-2.1212103740', '5.0951036020', '-1.9597728070'] 0.11482413977777778
train\8\Im_B7\91.jpg ['1.1403892450', '9.7524067010', '0.0224836550', '4.9762224730', '0.0345775430', '-2.0957972100', '4.6129592900', '-1.8870413460'] 0.11482413977777778
train\8\Im_B7\92.jpg ['1.1944598450', '9.7460452520', '0.0254152590', '4.9752404730', '0.0332751340', '-2.0715067260', '4.1314907350', '-1.8055662490'] 0.11482413977777778
train\8\Im_B7\93.jpg ['1.2516360600', '9.7396851340', '0.0292645470', '4.9697289600', '0.0320905690', '-2.0483786990', '3.7783561060', '-1.7733297620'] 0.11482413977777778
train\8\Im_B7\94.jpg ['1.2954499750', '9.7333261660', '0.0338665700', '4.9609860800', '0.0310557210', '-2.0264405280', '3.5006244780', '-1.7753421130'] 0.11482413977777778
train\8\Im_B7\95.jpg ['1.3211191570', '9.7269686010', '0.0388788810', '4.9511555790', '0.0302080080', '-2.0057148440', '3.2196909120', '-1.7772805880'] 0.11482413977777778
train\8\Im_B7\96.jpg ['1.3311807790', '9.7206127220', '0.0437687620', '4.9431359750', '0.0295852110', '-1.9862235310', '2.9357601320', '-1.7792361920'] 0.11467154955555554
train\8\Im_B7\97.jpg ['1.3313342810', '9.7142586750', '0.0419366070', '4.9748740210', '0.0292229220', '-1.9679861550', '2.6490178210', '-1.7812701200'] 0.11467154955555554
train\8\Im_B7\98.jpg ['1.3271967530', '9.7079078980', '0.0402432260', '5.0051201300', '0.0291538030', '-1.9510147180', '2.3596307760', '-1.7834281410'] 0.11467154955555554
train\8\Im_B7\99.jpg ['1.3225135650', '9.7015732220', '0.0391674110', '5.0313278260', '0.0294080710', '-1.9353073560', '2.0677427540', '-1.7857491870'] 0.11390859844444444
train\8\Im_B7\100.jpg ['1.3192654570', '9.6952764070', '0.0388126910', '5.0531153850', '0.0300133170', '-1.9208413650', '1.7734681700', '-1.7882704360'] 0.10475318532222223
train\8\Im_B7\101.jpg ['1.3173761610', '9.6890360170', '0.0392718300', '5.0702041730', '0.0309932320', '-1.9075602260', '1.4768827260', '-1.7910454810'] 0.10231174182222222
train\8\Im_B7\102.jpg ['1.3104057380', '9.6828616260', '0.0405973750', '5.0826476220', '0.0323703800', '-1.8953555600', '1.1780085240', '-1.7941475970'] 0.10231174182222222
train\8\Im_B7\103.jpg ['1.2847308740', '9.6767557160', '0.0427611510', '5.0910508060', '0.0341605260', '-1.8840114120', '0.8768161490', '-1.7975281060'] 0.10231174182222222
train\9\Im_B8\1.jpg ['1.0891908970', '10.0691698800', '0.0251613820', '2.8894598720', '0.0068734480', '-4.0108442030', '49.6141542900', '-2.1126272400'] 0.09285114824444445
train\9\Im_B8\2.jpg ['1.0885231760', '10.0627086100', '0.0246390610', '2.8952330400', '0.0053361760', '-3.9994739650', '49.1132313300', '-2.0616717140'] 0.09285114824444445
train\9\Im_B8\3.jpg ['1.0883172890', '10.0562493200', '0.0239790920', '2.9011360350', '0.0038188780', '-3.9887891050', '48.6125819300', '-2.0112010120'] 0.09285114824444445
train\9\Im_B8\4.jpg ['1.0882641310', '10.0497920300', '0.0231669490', '2.9072301440', '0.0023297540', '-3.9788546030', '48.1122063400', '-1.9612178720'] 0.09285114824444445
train\9\Im_B8\5.jpg ['1.0881490310', '10.0433367500', '0.0221962270', '2.9135399640', '0.0010629880', '-3.9718626390', '47.6121047000', '-1.9117284030'] 0.09102006561111112
train\9\Im_B8\6.jpg ['1.0878889260', '10.0368834700', '0.0213134190', '2.9176452470', '-0.0003583180', '-3.9633939010', '47.1122756300', '-1.8627813360'] 0.08094911116666667
train\9\Im_B8\7.jpg ['1.0865130990', '10.0304320300', '0.0200825330', '2.9242246010', '-0.0017322730', '-3.9558078900', '46.6127056000', '-1.8147693230'] 0.06477454795555555
train\9\Im_B8\8.jpg ['1.0761189250', '10.0239815600', '0.0187099020', '2.9309940900', '-0.0030465170', '-3.9491150240', '46.1133514800', '-1.7689557060'] 0.05012588693333333
train\9\Im_B8\9.jpg ['1.0362905810', '10.0175311500', '0.0172326020', '2.9379622540', '-0.0042715990', '-3.9432764110', '45.6141502500', '-1.7272587480'] 0.04417486838888889
train\9\Im_B8\10.jpg ['0.9507544770', '10.0110813100', '0.0157035100', '2.9451614690', '-0.0053645520', '-3.9382172810', '45.1150560300', '-1.6911964490'] 0.040665293355555555
train\9\Im_B8\11.jpg ['0.8273975810', '10.0046337400', '0.0141693170', '2.9526063250', '-0.0062900900', '-3.9338693030', '44.6160697500', '-1.6609574140'] 0.037155718322222225
train\9\Im_B8\12.jpg ['0.6966588930', '9.9981894220', '0.0126503470', '2.9602640970', '-0.0070403880', '-3.9302003040', '44.1172265300', '-1.6356942420'] 0.020675974666666666
train\9\Im_B8\13.jpg ['0.5833915260', '9.9917481830', '0.0111452690', '2.9680793750', '-0.0076300560', '-3.9271932350', '43.6185618100', '-1.6144964140'] -0.020523384455555557
train\9\Im_B8\14.jpg ['0.4899567410', '9.9853090240', '0.0084289360', '2.9813522230', '-0.0080762150', '-3.9248144260', '43.1200532100', '-1.5981226440'] -0.053940642399999995
train\9\Im_B8\15.jpg ['0.3760915970', '9.9788709000', '0.0084651240', '2.9828652070', '-0.0094681150', '-3.9143485250', '42.6215951700', '-1.5897351440'] -0.07118333714444444
train\9\Im_B8\16.jpg ['0.1812297910', '9.9724356870', '0.0087952260', '2.9839776210', '-0.0100065610', '-3.9089812470', '42.1230825700', '-1.5923108480'] -0.08018616006666666
train\9\Im_B8\17.jpg ['-0.0931009680', '9.9660060540', '0.0094349330', '2.9851356340', '-0.0103219460', '-3.9030995420', '41.6244799300', '-1.6065227770'] -0.09300373845555557
train\9\Im_B8\18.jpg ['-0.3914243760', '9.9595813320', '0.0103518170', '2.9866840230', '-0.0103844400', '-3.8966921000', '41.1258172800', '-1.6309546690'] -0.11329823755555556
train\9\Im_B8\19.jpg ['-0.6607248620', '9.9531595960', '0.0114717570', '2.9888866160', '-0.0102102330', '-3.8898023610', '40.6271388600', '-1.6637482830'] -0.13359273666666666
train\9\Im_B8\20.jpg ['-0.8879623640', '9.9467408370', '0.0127171230', '2.9919834850', '-0.0098265780', '-3.8824596990', '40.1284616400', '-1.7038102670'] -0.15175097277777777
train\9\Im_B8\21.jpg ['-1.0913271480', '9.9403261590', '0.0140361110', '2.9962071580', '-0.0092445520', '-3.8746555050', '39.6297748400', '-1.7507466660'] -0.16807812622222223
train\9\Im_B8\22.jpg ['-1.2885667860', '9.9339160580', '0.0154030150', '3.0017503030', '-0.0084596760', '-3.8663708690', '39.1310540700', '-1.8044237800'] -0.17448691533333333
train\9\Im_B8\23.jpg ['-1.4867971000', '9.9275101270', '0.0168083000', '3.0087498490', '-0.0074614970', '-3.8575928430', '38.6322800800', '-1.8644966830'] -0.17463950555555555
train\9\Im_B8\24.jpg ['-1.6806403750', '9.9211061880', '0.0182461700', '3.0172803250', '-0.0062447920', '-3.8483251260', '38.1334706900', '-1.9297658640'] -0.17463950555555555
train\9\Im_B8\25.jpg ['-1.8465219940', '9.9147011800', '0.0196966760', '3.0273346240', '-0.0050762570', '-3.8347878080', '37.6346838700', '-1.9983274230'] -0.1747920957777778
train\9\Im_B8\26.jpg ['-1.9636568380', '9.9082940260', '0.0211261780', '3.0388512520', '-0.0035477440', '-3.8240300870', '37.1359919800', '-2.0682784820'] -0.1755550468888889
train\9\Im_B8\27.jpg ['-2.0299825570', '9.9018857510', '0.0223828200', '3.0547266700', '-0.0018873750', '-3.8129952380', '36.6374583600', '-2.1381895470'] -0.1755550468888889
train\9\Im_B8\28.jpg ['-2.0569134960', '9.8954779140', '0.0234579390', '3.0704865760', '-0.0001239600', '-3.8017201760', '36.1391250500', '-2.2072408710'] -0.1755550468888889
train\9\Im_B8\29.jpg ['-2.0606190580', '9.8890714320', '0.0244491900', '3.0874722200', '0.0017267340', '-3.7902222500', '35.6410143100', '-2.2750758510'] -0.1755550468888889
train\9\Im_B8\30.jpg ['-2.0539685660', '9.8826665720', '0.0253616870', '3.1056129880', '0.0036590140', '-3.7785056050', '35.1431334000', '-2.3416333940'] -0.1755550468888889
train\9\Im_B8\31.jpg ['-2.0455493060', '9.8762633750', '0.0262075670', '3.1248421430', '0.0056734530', '-3.7665609090', '34.6454812800', '-2.4069903690'] -0.1747920957777778
train\9\Im_B8\32.jpg ['-2.0395699960', '9.8698618380', '0.0270020980', '3.1450964970', '0.0077730520', '-3.7543656310', '34.1480555300', '-2.4712327260'] -0.16914625777777778
train\9\Im_B8\33.jpg ['-2.0364219700', '9.8634618750', '0.0256637590', '3.1757162190', '0.0099599290', '-3.7418854980', '33.6508641200', '-2.5342806100'] -0.15999084455555554
train\9\Im_B8\34.jpg ['-2.0310303130', '9.8570626280', '0.0276930680', '3.1919494180', '0.0268845670', '-3.8070809750', '33.1539448400', '-2.5956406270'] -0.14991989011111112
train\9\Im_B8\35.jpg ['-2.0102357260', '9.8506630510', '0.0298393170', '3.2083769000', '0.0290596540', '-3.7914151720', '32.6573651400', '-2.6544806600'] -0.13984893566666667
train\9\Im_B8\36.jpg ['-1.9624986680', '9.8442631140', '0.0320490860', '3.2251130460', '0.0313084250', '-3.7754787840', '32.1612030500', '-2.7099393670'] -0.13359273666666666
train\9\Im_B8\37.jpg ['-1.8855914110', '9.8378636630', '0.0342616180', '3.2422915240', '0.0335628740', '-3.7590836610', '31.6655231400', '-2.7614335630'] -0.1241321431111111
train\9\Im_B8\38.jpg ['-1.7872796600', '9.8314662000', '0.0364196410', '3.2600659960', '0.0357609540', '-3.7420409200', '31.1703580600', '-2.8088389480'] -0.11436636911111112
train\9\Im_B8\39.jpg ['-1.6819036530', '9.8250711500', '0.0384780390', '3.2786026340', '0.0378557350', '-3.7241719350', '30.6757284300', '-2.8521759740'] -0.11406118866666666
train\9\Im_B8\40.jpg ['-1.5741831570', '9.8186781680', '0.0403987570', '3.2980379850', '0.0398101380', '-3.7053464930', '30.1816387200', '-2.8916437440'] -0.11314564733333332
train\9\Im_B8\41.jpg ['-1.4702842920', '9.8122883730', '0.0421553190', '3.3184788480', '0.0416006490', '-3.6854768410', '29.6880468900', '-2.9279521290'] -0.1070420386
train\9\Im_B8\42.jpg ['-1.3881447030', '9.8059024230', '0.0437458600', '3.3400206570', '0.0432289890', '-3.6644937560', '29.1948989400', '-2.9618680890'] -0.09483482108888888
train\9\Im_B8\43.jpg ['-1.3308231930', '9.7995192110', '0.0452048490', '3.3625840320', '0.0447094260', '-3.6423824960', '28.7021813000', '-2.9936427490'] -0.0884260318888889
train\9\Im_B8\44.jpg ['-1.2811321910', '9.7931370750', '0.0468191870', '3.3850453030', '0.0461160620', '-3.6194920850', '28.2099322700', '-3.0229596310'] -0.08278019378888889
train\9\Im_B8\45.jpg ['-1.2187572080', '9.7867561330', '0.0476286350', '3.4170524650', '0.0476435310', '-3.5966412180', '27.7181895400', '-3.0495490990'] -0.07118333714444444
train\9\Im_B8\46.jpg ['-1.1445664950', '9.7803773690', '0.0490753270', '3.4425733890', '0.0491069180', '-3.5731445360', '27.2269812700', '-3.0732612360'] -0.05271992065555556
train\9\Im_B8\47.jpg ['-1.0622715420', '9.7740006150', '0.0505160600', '3.4680253240', '0.0503939990', '-3.5431914700', '26.7363599800', '-3.0937090800'] -0.025101091022222223
train\9\Im_B8\48.jpg ['-0.9624923630', '9.7676250510', '0.0519005910', '3.4935253010', '0.0517199750', '-3.5175059310', '26.2464294300', '-3.1100319170'] 0.006027313644444444
train\9\Im_B8\49.jpg ['-0.8261087110', '9.7612501960', '0.0531690660', '3.5191089470', '0.0528976870', '-3.4914501480', '25.7573509800', '-3.1208784540'] 0.015030136566666666
train\9\Im_B8\50.jpg ['-0.6318812910', '9.7548770060', '0.0542504270', '3.5447264590', '0.0538542560', '-3.4650619810', '25.2692728800', '-3.1251050240'] 0.019760433355555555
train\9\Im_B8\51.jpg ['-0.3849129520', '9.7485081170', '0.0550847260', '3.5703079190', '0.0545316490', '-3.4384234170', '24.7821948700', '-3.1229829210'] 0.040665293355555555
train\9\Im_B8\52.jpg ['-0.1399238590', '9.7421439470', '0.0556660090', '3.5958673350', '0.0549287950', '-3.4115679440', '24.2960185300', '-3.1156050680'] 0.050888838022222216
train\9\Im_B8\53.jpg ['0.0686202630', '9.7357832870', '0.0562037010', '3.6205359610', '0.0550815830', '-3.3845409790', '23.8106735800', '-3.1037158800'] 0.05271992065555556
train\9\Im_B8\54.jpg ['0.2527453400', '9.7294257700', '0.0569293340', '3.6433203870', '0.0552020500', '-3.3582815060', '23.3260777500', '-3.0881275390'] 0.05455100327777778
train\9\Im_B8\55.jpg ['0.4078485060', '9.7230708320', '0.0576942460', '3.6650838580', '0.0554115520', '-3.3331894810', '22.8421154800', '-3.0699083810'] 0.08812085145555557
train\9\Im_B8\56.jpg ['0.5212565570', '9.7167176970', '0.0585282600', '3.6859477020', '0.0556297140', '-3.3087193960', '22.3587182300', '-3.0496767730'] 0.11955443655555556
train\9\Im_B8\57.jpg ['0.6107748670', '9.7103677740', '0.0594340470', '3.7060620330', '0.0558807980', '-3.2848749290', '21.8759958800', '-3.0265079030'] 0.14320592055555556
train\9\Im_B8\58.jpg ['0.7453281190', '9.7040235740', '0.0603375670', '3.7255142660', '0.0561269390', '-3.2617689820', '21.3941280600', '-2.9989455240'] 0.14686808577777777
train\9\Im_B8\59.jpg ['0.9527957150', '9.6976860280', '0.0611238250', '3.7444453670', '0.0563034420', '-3.2395108180', '20.9132151600', '-2.9662414040'] 0.1512932021111111
